accnumber_hash,avg_event_source_faultRef_HASH_count,max_clearance_time,avg_event_source_clearance_time_seconds
450888e178856a11993c566cafc5332e0af7b7fdf656b097c6f16e0975292141,1,11030,11030
bbac57b0c4f373e62938eddf77c9ea703c5e75ac4c83ed4ce07cbdac0a1319ef,1,3984,3984
322a0fa9ef1dcc7553cc2d27457c8e6ac205f6f24edee7d1656fabb0d000b70a,1,56713,56713
46143c03d4d65b2fe67f0822239351bb45b37ead5f52141e5cc02819eba679fd,1,22280,20379
f53ba652454fdb4fec802b75b90ed96319c3f711fb1c3e2c4d1d0f2306b5afbb,1.5,83638,110017.5
ea71919bc27e8357f939acbf0991d7a0b7f289d4f78239c0271ff011158e52db,3,59367,89819
6d94825aa9f60545f3c0745213c707a2eb9b78734caebc133f0757568e1c018d,1,17461,17461
41eec5953fe5a420f121f3bf1fd9b1a3bd3385c707a377aeb0ee75db4e0cd846,2,268568,349189
80bb5d9eabc7651eec0fb3eeded2221d672b9df0a6c3001a803ebabf1104fab7,1,60614,60614
599f0cc48dd08092697ba2744e99850a15271c4496cbf60a8071e7ba46e6429d,1,3829,3829
45e258dd56fe7543b6286e7c76423f39c402e6ed72885bff60adf003a96993f9,2,416292,474919
bb37b6db14ffe12e1152e526f45b52c5dce9502e838da26e10581581e9bcf446,3,109261,235291
f167afd73aee5f3d77b40de1234ba9dded5860679a1f6000168f3eddc6e61cf9,1,25125,25125
f77e9b119a0235bf76e408f4962fc9029309757f1b530a4547f2d9384afc7bf0,2,16316,23416
7971bbfeaa9bb37a7e65f97e27bc14fc99db4897d7e3ee19110b73355205fc68,1,59248,59248
4735ce3811558c0d78a1644e87398348dca841093b7b3b43aacf02f5e2db6e2b,7,138186,357074
1deb0868fcdb7376ed7a53057d07678ef97b03099d96a417eabaa0e65b4812c0,1,22077,22077
c33b11c8101304af662569f826020c4eb56ed002987cbe6a7c07f4a3d43e9153,2,84762,87683
0382ecf93e48b76e292e5fa2267171b9068f1fb35e2f3ccaec8bd817761047e8,1,26518,26485.5
c5ffeb87fd591017056d66d9d394bd1e285bdfe570fa7a9630e8d1770a8d4cc3,1,67267,41239
8a873927172dafebbd38aba39fe1e1765cf916239155409adada77e3d1fbcf1c,5,151379,299755
5441ab43e3fc1e50510e2de654987e69cc8dc305dd9674b60cbcd34470be1bdf,6,2409345,2701732
f31d7f9f934d3cb20551fef3b161eb2465461b0fd487e60426465c0042eb19ec,1,14020,14020
eca9f97d73a85252fe6f5de61c2ec78444b40b3c18e3c7b73454e88130a740bb,1,56612,56612
d40115877dcdd3721e71a293b0e4959c3fb39c4901b7c104982148d4edf55740,1,15526,15526
987cee99daf4e6e4e13ffa5154a3c4c879749c60f4d2bdc0b2407a3eed047367,5,67113,94745
0da6970bb8db82579b0ced29162fd5d27cd50a782db35a958549bbdad259119f,1,73825,43006
a78357df9cb2af6dcfb2b6deca2ecef0c0e75d8ffbbb854f6b1ccb1ba43fa1a8,1,4011,4011
eb1fc8fbaa3995db6351d6fae589e0e80f77131e9859d8c4aaff57fe0e1c144b,1,48963,48963
461971936af048036c74f169d5c0d0ae58f17848b83fb02b1568c8397797fca0,1.333333333,105073,95355.66667
d50a60d0bc107466488ebbb6f3857c4fa4d3b373005b1f6078c36e60149b7428,2,14196,27887
ae6c43ef6e357aaad702b4d6de8ea31f71ec503d41339436fcffa33af116e5cf,1,3778,3778
efd9e0edf7f861b3742d6e909f5653a746d89efd92fab403102c5ab6d70aa614,1,8205,8205
c2aeda1f6e6268338df6a21e8f178b94ce0a6b2dba0c7dd894dd3b9161866811,1,16501,16501
f1f7ef0b893311a249fc3d7c0d9c335057a35843979e6d204d6e66d3ce142fde,1,1729,1729
6f93b397a905539d13bbb5e4941ddfcbc57b9a35b9320bb15297a152d7ee82a2,1.5,76519,104251.5
53f5b58314d2016ed149a01e0258850d8b3539ed15063d9e1de6bbb86a9da96d,5,98844,342528
e6cce9f209a7699d7cedc138854fb2fada4d1079face08560284e7b0df2f60e2,2,58283,66217.5
5be1dfae93e28eaf48b0f26917b95341a6a657d4cdd15806f83cf01030e78ac8,1,7473,7473
db41bfa4cf324322f88b3769a31689115551e517c20226f27a3e7bfd920a4411,5,87381,281163
897ab64d30d2a59472888c998b6b30c434a61d1f7d1a6ce6d6a30b5d6d9e3949,2,20843,27425
2e3ed0a71b0628f1f81fcfd0da7e4d85d5ecea270ce77a71634d1bde288c3256,6,361859,402284
30764df17104c57f2285e02dab4aff5447cb9955bf712b571621c938c82f8667,3,73254,127284
c94dfc676ab5c36e9ebdf5fec4e7e1f414743a0dcb1333ddaeca75b68ebe8dc3,2,41646,49090
1b3c3bfe71c261089d07615f1485f0c48ebea79a3fbbb3321cb1302c299794b8,1,71885,71885
69ceb7107e03b4eacacf14e779e7632e6bd17ef274c527bef003ccc2a83919e5,1,88852,88852
1a8be7096beb3c7a44b18585efb3fed65b8d4d24b513d1fc1a3cc3d4b5886c10,1,5976,5976
9e690b6294ca24251c7ca6fa3b41ac89e876e7c7d990814e0e40e5414dec046b,1,29846,29846
582da7c91467e67125443833cc729fe53beb8d30f80aba0ee4fb3d8cb89c4678,2,70346,89573
4a41e883cdb5c80a59249dd7abc2f9fc72f59f0c53075bdfcdce0fb2b9564c82,8,57607,152226
