accnumber_hash,extragb_gb_tot_avg,extragb_event_count_avg,extragb_cost_tot_avg,extragb_gb_tot_cv,extragb_cost_tot_cv
0027241c9bf5a7176058a0bc8e0adf54df201387c7b0995248c0d1472554171e,2,2,200,0,0
00288807b39cd804600ef283bd01fa312ea8b99b5c47e4271d37c7b2f576930e,8,1,680,0.5223947,0.521958008
002ae2b0835d1ff14e74e2002e37dbba52a297fe4cc0307b2b595c7d93b4399f,3,3,300,1.393052534,1.183104818
002b840d5fe418d1b68e3d6d3900241c57e2b4eb794d0bf28827094639325dc1,10,1.333333333,850,0.866025404,0.866025404
002c76f122179d6b5ddbb9ec562c7c747d75965c110631dccf05237e8a0bc21c,3,2.75,300,0.608580619,0.608580619
002d9dc3597ff4717ae756b85024548f4029571d08383a1d4885bc01b1901ce2,2.333333333,1,233.3333333,0.24743583,0.24743583
002fbaeec57372bb263a32c36b4cf453af4ad08f64005691232b82a4768563b0,13.66666667,3.666666667,1216.666667,0.476078568,0.473197958
00358b73e2808f5d41ab3662e42edab8658b80e9cb72e0cd853cb24222e8065f,9.666666667,2.333333333,866.6666667,0.29862945,0.28312369
00359f9ea2f6b16bd3485a4d764ceef6aad6072562115f656206133b9d3e5689,15,3,1275,0.278610507,0.278377604
0038724331f6638b69dd09221d7d0aaeec8576c2f100091d4c71616467ceebe8,2,1,200,2.089578802,1.774657226
003df4ab2969bc10a62189d285b871be36c4c8524ca1c37f62e19d6d6133a835,5,4,500,0.871779789,0.871779789
004226045db8c95dd0f6f158c5bf11366aa5bd43c2974131f59e65c6a0397c19,2,1,200,2.089578802,1.774657226
0043780a871fd5823bfddf59fbd7f8fd6fa798fc328927c0d9b8cc75d16f1a49,1.5,1.5,150,0.471404521,0.471404521
00448667d4e62d75b2e9101a4db06f9a76451112e054d2a86af2848231a4a827,5,1,425,0.835831521,0.835132812
00467a9246c793f3f274aabb1d6977fb93ec1a8a9626e1a6c325d840ed9f3f6d,4.5,1.5,412.5,0.785674201,0.728534259
004b72381174a94def64efe23b9dd9ce4cf27df52b69ff47b426f2cee4806163,16.75,6.25,1498.75,0.375613653,0.339916781
004d5ca5a409792987716a3d2c146178ce7037032086dcbb8fb7fbbeadaaa6c8,10,2,850,0,0
004d976942763dc582e3e324c650ac5225e02e473559a838c2ad2c307159036e,3,3,300,1.393052534,1.183104818
